,Resume,Labels
0,skill program languag python panda numpi scipi scikit learn matplotlib sql java javascript jqueri machin learn regress svm na bay knn random forest decis tree boost techniqu cluster analysi word embed sentiment analysi natur languag process dimension reduct topic model lda nmf pca neural net databas visual mysql sqlserver cassandra hbase elasticsearch js dc js plotli kibana matplotlib ggplot tableau other regular express html css angular logstash kafka python flask git docker comput vision open cv understand deep learn educ detail data scienc assur associ data scienc assur associ ernst young llp skill detail javascript exprienc month jqueri exprienc month python exprienc monthscompani detail compani ernst young llp descript fraud investig disput servic assur technolog assist review tar technolog assist review assist acceler review process run analyt gener report core member team help develop autom review platform tool scratch assist e discoveri domain tool implement predict code topic model autom review result reduc labor cost time spent lawyer review understand end end flow solut research develop classif model predict analysi mine inform present text data work analyz output precis monitor entir tool tar assist predict code topic model evid follow ey standard develop classifi model order identifi red flag fraud relat issu tool technolog python scikit learn tfidf word vec doc vec cosin similar na bay lda nmf topic model vader text blob sentiment analysi matplot lib tableau dashboard report multipl data scienc analyt project usa client text analyt motor vehicl custom review data receiv custom feedback survey data past one year perform sentiment posit neg neutral time seri analysi custom comment across categori creat heat map term survey categori base frequenc word extract posit neg word across survey categori plot word cloud creat custom tableau dashboard effect report visual chatbot develop user friendli chatbot one product handl simpl question hour oper reserv option chat bot serv entir product relat question give overview tool via qa platform also give recommend respons user question build chain relev answer intellig build pipelin question per user requir ask relev recommend question tool technolog python natur languag process nltk spaci topic model sentiment analysi word embed scikit learn javascript jqueri sqlserver inform govern organ make inform decis inform store integr inform govern portfolio synthes intellig across unstructur data sourc facilit action ensur organ best posit counter inform risk scan data multipl sourc format pars differ file format extract meta data inform push result index elast search creat custom interact dashboard use kibana preform rot analysi data give inform data help identifi content either redund outdat trivial preform full text search analysi elast search predefin method tag pii person identifi inform social secur number address name etc frequent target cyber attack tool technolog python flask elast search kibana fraud analyt platform fraud analyt investig platform review red flag case fap fraud analyt investig platform inbuilt case manag suit analyt variou erp system use client interrog account system identifi anomali indic fraud run advanc analyt tool technolog html javascript sqlserver jqueri css bootstrap node js js dc js,Data Science
1,educ detail may may b e uit rgpv data scientist data scientist matelab skill detail python exprienc less year month statsmodel exprienc month aw exprienc less year month machin learn exprienc less year month sklearn exprienc less year month scipi exprienc less year month kera exprienc less year monthscompani detail compani matelab descript ml platform busi profession dummi enthusiast koramangala th block achiev task behind sukh sagar bengaluru india develop deploy auto preprocess step machin learn mainli miss valu treatment outlier detect encod scale featur select dimension reduct deploy autom classif regress model linkedin com aditya rathor b b reasearch deploy time seri forecast model arima sarimax holt winter prophet work meta featur extract problem github com rathorolog implement state art research paper outlier detect mix attribut compani matelab descript,Data Science
2,area interest deep learn control system design program python electr machineri web develop analyt technic activ q hindustan aeronaut limit bangalor week guidanc mr satish senior engin hangar mirag fighter aircraft technic skill program matlab python java labview python webframework django flask ltspice intermedi languag mipow intermedi github gitbash jupyt notebook xampp mysql basic python softwar packag interpret anaconda python python pycharm java ide eclips oper system window ubuntu debian kali linux educ detail januari b tech electr electron engin manip institut technolog januari deeksha center januari littl flower public school august manip academi higher data scienc data scienc electr enthusiast skill detail data analysi exprienc less year month excel exprienc less year month machin learn exprienc less year month mathemat exprienc less year month python exprienc less year month matlab exprienc less year month electr engin exprienc less year month sql exprienc less year monthscompani detail compani themathcompani descript current work casino base oper name disclos macau need segment custom visit properti base valu patron bring compani basic prove segment done much better way current system proper number back henceforth implement target market strategi attract custom add valu busi,Data Science
3,skill r python sap hana tableau sap hana sql sap hana pal ms sql sap lumira c linear program data model advanc analyt scm analyt retail analyt social media analyt nlp educ detail januari januari pgdm busi analyt great lake institut manag illinoi institut technolog januari bachelor engin electron commun bengaluru karnataka new horizon colleg engin bangalor visvesvaraya technolog univers data scienc consult consult deloitt usi skill detail linear program exprienc month retail exprienc month retail market exprienc month scm exprienc month sql exprienc less year month deep learn exprienc less year month machin learn exprienc less year month python exprienc less year month r exprienc less year monthscompani detail compani deloitt usi descript project involv analys histor deal come insight optim futur deal role given raw data carri end end analysi present insight client key respons extract data client system across geographi understand build report tableau infer meaning insight optim price find process blockad technic environ r tableau industri cross industri servic area cross industri product project name handwrit recognit consult month project involv take handwritten imag convert digit text imag object detect sentenc creation role develop sentenc correct function key respons gather data larg enough captur english word train lstm model word technic environ python industri financ servic area financi servic bi develop project name swift consult month project develop analyt infrastructur top sap would user view financi report respect depart report also includ forecast expens role lead offshor team key respons design develop data model report develop etl data flow valid variou report technic environ sap hana tableau sap ao industri healthcar analyt servic area life scienc product develop project name clinic healthcar system consult month project develop analyt infrastructur top argu would allow user queri faster provid advanc analyt capabl role involv design deploy phase perform lot data restructur built model insight key respons design develop data model report develop deploy analyt model valid variou report technic environ data model sap hana tableau nlp industri fmcg servic area trade promot project name consumpt base plan flower food consult month project involv set crm cbp modul role involv key data decomposit activ set base futur year forecast cours project develop variou model carri key perform improv key respons design develop hana model decomposit develop data flow forecast develop variou view report custom sale fund valid variou report bobj technic environ data model sap hana bobj time seri forecast intern initi industri fmcg custom segment rfm analysi consult month initi involv set hana python interfac advanc analyt python cours success segment data five core segment use k mean carri rfm analysi python also develop algorithm categor new custom defin bucket technic environ anaconda python hana sp industri telecom invoic state detect consult month initi reduc manual effort verifi close open invoic manual involv develop decis tree classifi open close invoic enabl effort reduct technic environ r sap pal sap hana sp accentur experi industri analyt cross industri process analyt sap senior develop month accentur solut pvt ltd india project involv develop sap analyt tool process analyt ipa role develop databas object data model provid oper insight client role develop variou financ relat kpi spearhead variou deploy introduc sap predict analyt reduc develop time reus function kpi prepar product plan report key respons involv inform gather phase design implement sap hana data model use attribut view analyt view calcul view develop variou kpi individu use complex sql script calcul view creat procedur hana databas took ownership develop dashboard function involv build data process algorithm execut r server cluster analysi technic environ r sap hana sql industri cross industri accentur test acceler sap databas develop month accentur solut pvt ltd india role taken care develop activ ata tool also complet variou deploy product apart activ also activ involv mainten databas server product qualiti key respons analyz busi requir understand scope get requir clarifi interact busi transform requir gener attribut map document review map specif document creat updat databas object like tabl view store procedur function packag monitor sql server error log applic log sql server agent prepar data flow diagram entiti relationship diagram use uml respons design develop normal databas tabl experi perform tune use sql profil involv qa uat knowledg transfer support activ technic environ sql server visual studio window server perform monitor sql server profil c pl sql sql,Data Science
4,educ detail mca ymcaust faridabad haryana data scienc internship skill detail data structur exprienc less year month c exprienc less year month data analysi exprienc less year month python exprienc less year month core java exprienc less year month databas manag exprienc less year monthscompani detail compani itechpow descript,Data Science
5,skill c basic iot python matlab data scienc machin learn html microsoft word microsoft excel microsoft powerpoint recognit academ secur first place b tech educ detail august may b tech ghatkesar andhra pradesh aurora scientif technolog institut june may secondari educ warang telangana sr junior colleg data scienc skill detail ms offic exprienc less year month c exprienc less year month machin learn exprienc less year month data scienc exprienc less year month matlab exprienc less year monthscompani detail compani descript,Data Science
6,skill python tableau data visual r studio machin learn statist iabac certifi data scientist versatil experi year manag busi data scienc consult lead innov project bring busi idea work real world solut strong advoc augment era human capabl enhanc machin fahe passion bring busi concept area machin learn ai robot etc real life solut educ detail januari b tech comput scienc engin mohali punjab indo global colleg engin data scienc consult data scienc consult datamit skill detail machin learn exprienc month python exprienc month solut exprienc month data scienc exprienc month data visual exprienc month tableau exprienc monthscompani detail compani datamit descript analyz process complex data set use advanc queri visual analyt tool respons load extract valid client data work manipul clean process data use python use tableau data visual compani heret solut pvt ltd descript work close busi identifi issu use data propos solut effect decis make manipul cleans process data use python excel r analyz raw data draw conclus develop recommend use machin learn tool statist techniqu produc solut problem,Data Science
7,educ detail b tech rayat bahra institut engin biotechnolog data scienc data scienc skill detail numpi exprienc less year month machin learn exprienc less year month tensorflow exprienc less year month scikit exprienc less year month python exprienc less year month gcp exprienc less year month panda exprienc less year month neural network exprienc less year monthscompani detail compani wipro descript bhawana aggarw e mail bhawana chd gmail com phone vversatil high energi profession target challeng assign machin profil summari profession knowledg experi year wipro technolog machin learn deep learn data scienc python softwar develop skill manag end end develop softwar product project incept requir spec plan design implement configur document knowledg python machin learn deep learn data scienc algorithm neural network nlp gcp knowledg python librari like numpi panda seaborn matplotlib cufflink knowledg differ algorithm machin learn like knn decis tree bia varianc trade support vector machin svm logist regress neural network knowledg unsupervis supervis reinforc data program experi relat platform like mysql oracl knowledg program languag like c java experi cloud base environ like googl cloud work differ oper system like linux ubuntu window good interperson commun skill problem solv skill abil think later think medium term long term perspect flexibl open attitud chang abil creat defin framework strong emphasi code reusabl technic skill program languag python c librari seaborn numpi panda cufflink matplotlib algorithm knn decis tree linear regress logist regress neural network k mean cluster tensorflow svm databas sql oracl oper system linux window develop environ netbean notebook sublim ticket tool servic remedi educ ug educ b tech comput scienc rayat bahra institut engin biotechnolog pass school xii moti ram arya sr secondari school pass x valley public school pass cgpa work experinc titl wipro neural intellig platform team size brief wipro neural intellig platform har power autom artifici intellig technolog natur languag process nlp cognit machin learn analyt platform compris three layer data engag platform easili access manag multipl structur unstructur data sourc intent assess reason engin includ sentiment predict analyt deep machin learn engin sens act learn time project entail autom respons user queri earliest monster bot use power deep machin learn nlp handl queri user see queri answer quickli like alll activ elimin entiti extractor involv text extract nlp fetch import inform text like date name place contact number etc involv regex bluemix nlu api machin learn use tensor flow learn new entiti classifi involv classif class train dataset predict output use sklearn classifi mnb svm sgd classifi sgd optim map user queri best suit respons make system effici ner deep learn ner model train extract entiti text entiti like role skill organ extract raw text rnn lstm bidirect model train extract entiti use kera tensorflow framework project titl diabet detect brief develop softwar detect whether person suffer diabet got third prize train certif titl python train machin learn data scienc deep learn organ udemi coursera machin learn deep learn person profil father name mr tirlok aggarw languag known english hindi marit statu singl date birth gender yyyi mm dd f compani wipro descript develop program python compani wipro descript titl wipro neural intellig platform team size brief wipro neural intellig platform har power autom artifici intellig technolog natur languag process nlp cognit machin learn analyt platform compris three layer data engag platform easili access manag multipl structur unstructur data sourc intent assess reason engin includ sentiment predict analyt deep machin learn engin sens act learn time project entail autom respons user queri earliest monster bot use power deep machin learn nlp handl queri user see queri answer quickli like alll activ elimin entiti extractor involv text extract nlp fetch import inform text like date name place contact number etc involv regex bluemix nlu api machin learn use tensor flow learn new entiti classifi involv classif class train dataset predict output use sklearn classifi mnb svm sgd classifi sgd optim map user queri best suit respons make system effici ner deep learn ner model train extract entiti text entiti like role skill organ extract raw text rnn lstm bidirect model train extract entiti use kera tensorflow framework compani wipro technolog descript profession knowledg experi year wipro technolog machin learn deep learn data scienc python softwar develop skill manag end end develop softwar product project incept requir spec plan design implement configur document knowledg python machin learn deep learn data scienc algorithm neural network nlp gcp knowledg python librari like numpi panda seaborn matplotlib cufflink knowledg differ algorithm machin learn like knn decis tree bia varianc trade support vector machin svm logist regress neural network knowledg unsupervis supervis reinforc data program experi relat platform like mysql oracl knowledg program languag like c java experi cloud base environ like googl cloud work differ oper system like linux ubuntu window good interperson commun skill problem solv skill abil think later think medium term long term perspect flexibl open attitud chang abil creat defin framework strong emphasi code reusabl,Data Science
8,person skill abil quickli grasp technic aspect willing learn high energi level result orient educ detail januari master engin comput technolog applic bhopal madhya pradesh truba institut engin inform technolog januari b e comput scienc bhopal madhya pradesh rkdf institut scienc technolog colleg engin januari polytechn inform technolog vidisha madhya pradesh sati engin colleg vidisha januari tech thesi detail bmch school ganj basoda data scienc six month experi data scienc key skill experi machin learn deep lean nlp python sql web scrape good knowledg comput subject abil updat skill detail experi machin learn deep learn nlp python sql web crawl html css exprienc less year monthscompani detail compani rnt ai technolog solut descript text classif use machin learn algorithm python practic knowledg deep learn algorithm recurr neural network rnn develop custom data model algorithm appli dataset experi python packag like panda scikit learn tensor flow numpi matplotliv nltk comfort sql mysql sentiment analysi appli leav dataset use classif techniqu like tf idf lsa cosin similar use machin learn algorithm web crawl use selenium web driver beauti soup python compani life insur corpor india bhopal descript explain polici featur benefit updat knowledg life insur product share custom,Data Science
9,expertis data quantit analysi decis analyt predict model data driven person kpi dashboard big data queri interpret data mine visual tool machin learn algorithm busi intellig bi research report forecast educ detail pgp data scienc mumbai maharashtra aegi school data scienc busi b e electron commun electron commun indor madhya pradesh i ip academi data scientist data scientist pr canada skill detail algorithm exprienc month bi exprienc month busi intellig exprienc month machin learn exprienc month visual exprienc month spark exprienc month python exprienc month tableau exprienc month data analysi exprienc monthscompani detail compani aegi school data scienc busi descript mostli work industri project provid solut along teach appoint teach undergradu graduat level cours spark machin learn adjunct faculti member aegi school data scienc mumbai present compani aegi school data busi descript data scienc intern nov jan furnish execut leadership team insight analyt report recommend enabl effect strateg plan across busi unit distribut channel product line chat bot use aw lex tensor flow python goal project creat chat bot academ institut univers handl queri relat cours offer institut object task reduc human effort well reduc man made error even compani handl client x case compani academ institut client particip student web scrape use selenium web driver python task scrap data onlin messag portal text format find pattern form data visual data insight hadoop eco system hive pyspark qliksens goal project build busi solut internet servic provid compani like handl data gener per day basi visual data find usag pattern form gener report imag base fraud detect microsoft face api pyspark open cv main goal project recogn similar face given databas imag face recognit recogn special face set differ face face extract compar databas imag imag recogn person alreadi appli loan somewher els hide ident go prevent fraud initi stage churn analysi internet servic provid r python machin learn hadoop object identifi custom like churn given period time pretend custom give incent offer sentiment analysi python nlp apach spark servic ibm bluemix project highli emphasi tweet twitter data taken mobil network servic provid sentiment analysi analyz whether express opinion posit neg neutral captur emot tweet compar analysi quantifi result mentor data scienc enthusiast year sinc gone graduat school data scienc busi analyt review evalu research paper data scienc one largest data scienc confer call data scienc congress aegi school busi mumbai head solut provid organ call data scienc deliv aegi school data scienc mumbai manag live project use data scienc techniqu work social caus help data scienc social good committe team develop product call let find miss child help societi compani ibm india pvt ltd descript mostli work blumix ibm watson data scienc,Data Science
